"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","fsa","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","ya","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","cosmi","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mprep","fed","sotp","dea","samhsa","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40","cosed"
"Fresno County Hispanic Commission on","Alcohol/Drug Abuse Servs/DATE Prog","1419 Jensen Avenue","Suite 106","Sanger","CA","93657","","Fresno","559-268-6475","https://www.hispaniccommission.org","36.7074106","-119.5578435","SU","1","","","","","","","","","","","","1","","","","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","","","1","","1","","","","","","","","1","","","","","","","","","1","1","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","1","1","1","1","1","1","","1","","","1","1","1","1","1","1","","","","1","","","1","","","","1","","","","","","","","","1","1","1","","1","1","","","","","1","","1","","1","","","","","","","","","","","","1","","","","","","","1","","1","","1","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fresno New Connection Inc","","4411 North Cedar Avenue","Suite 108","Fresno","CA","93726","","Fresno","559-248-1548","https://fresnonewconnections.com/","36.797965","-119.7546682","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","","","1","","","","1","","1","1","1","1","1","","","1","","","","","1","1","1","1","","","","","","","","1","","1","1","1","","1","1","1","","1","","","1","","1","","","1","","","","","","","","","","","1","1","","","1","","","1","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAART Behavioral Health Services Inc","Detox Program","3103 East Cartwright Avenue","","Fresno","CA","93725","","Fresno","559-498-7100 x2552","https://www.baartprograms.com/","36.675885","-119.7345807","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","","","","","","","","","","","","","","1","","","","","1","","","","","1","1","1","","1","1","","","","","1","","1","","","","1","","","1","1","1","1","1","1","1","","","","","","","","1","","","","","","","1","","","","1","","1","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","1","","","","","1","","","1","","1","1","1","1","1","","1","","1","1","","","","1","1","1","","","","1","","","","","","1","","","","","","","","","","","","","1","","","1","","","","","","","","","","","1","1","","1","1","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Aegis Treatment Centers LLC","Pinnacle Treatment Center","3707 East Shields Avenue","","Fresno","CA","93726","","Fresno","559-229-9040","https://pinnacletreatment.com","36.7798457","-119.7631914","SU","1","1","1","1","1","1","","1","","","1","","","1","","","","1","1","","1","1","","","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","1","","1","1","","","","1","","1","1","1","","1","","1","1","1","1","1","","","","","","1","","","1","1","1","","","1","","1","1","1","","","","1","1","1","","1","1","","1","1","1","1","","1","","1","","","","1","1","1","1","1","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","1","1","","","","","","","","1","1","","1","","1","","","","1","1","","1","1","","","","","","","","","1","","","","","","","","","","","",""
"Suncross Foundation","","2329 East Ashlan Avenue","","Fresno","CA","93726","","Fresno","559-515-6272","https://suncrossfoundation.org","36.7943701","-119.78304","SU","1","","","","","","1","1","1","","","","","","","1","","","1","","1","1","","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","","","1","1","1","","","","1","","","1","1","1","1","1","","1","","","1","","","1","1","1","","","","1","","","","1","","","1","1","","","1","","","","","","1","","1","","1","","","","1","","","","","1","","","1","","1","1","","","","1","1","","1","","","","","","","1","1","","1","","1","1","","1","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zion Healing Center","Fresno","5765 North Fresno Street","Suite 101","Fresno","CA","93710","","Fresno","559-235-0406","https://Zionhealing.com/fresno","36.8222773","-119.7816406","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","","1","","","1","","","","","","1","1","1","","","","","","","","","","","","","","1","","1","","","","","","1","","1","","1","1","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","","","1","1","1","1","1","1","","1","","1","1","1","1","1","","","1","","","","","1","1","1","1","","","","","","","","1","1","1","1","1","","1","1","","","","","","","","","","","1","1","","","","","","","","","1","","1","","1","1","","","1","","1","1","1","","","","","","1","","","1","1","","1","","","","","","","","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"MedMark Treatment Centers","Fresno","1310 M Street","","Fresno","CA","93721","","Fresno","559-264-2700","https://medmark.com/locations/california/fresno","36.739376","-119.7903466","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","","","","1","","","","","","","","1","1","1","","","","","1","","","","","","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","1","1","1","1","1","1","","","","1","1","","1","1","1","1","1","1","1","1","","1","","1","1","1","","","1","1","1","1","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","1","1","1","","","","1","1","","1","","","","","","","","","","1","","","","","","","","1","","","",""
"BAART Behavioral Health Services Inc","Detox Program","539 North Van Ness Avenue","","Fresno","CA","93728","","Fresno","559-266-9581","https://www.baartprograms.com","36.7511531","-119.7991912","SU","1","1","","1","","","","","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","1","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","1","","","","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","1","1","1","","","","","1","","1","1","","1","","1","1","","","1","","","1","","","","1","","","","","","1","","","","","","","","1","","1","","1","","","","","","","1","1","1","1","","","1","","","","","","","","1","1","","1","1","1","","","","1","1","","1","","","","1","","","","","","1","","","","","","","","","","","",""
"Fresno County Hispanic Commission on","Alcohol/Drug Abuse Servs Inc","1803 Broadway Street","","Fresno","CA","93721","1047","Fresno","559-268-6475","https://www.hispaniccommission.org","36.7412215","-119.800261","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","1","1","1","","1","","","1","1","1","1","1","1","","","","1","","","1","","","","1","","","","","","","","","1","1","","","1","1","","","","","1","","","","","","","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kings View","Community Services DUI and PC 1000","1410 F Street","Suite 101","Fresno","CA","93706","","Fresno","559-457-2302","https://www.kingsview.org","36.7349957","-119.7992816","SU","1","","","","","","","","","","","","1","","","","","","","","1","","","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","1","1","","","","","1","","","","","","","","","","","","1","","","1","","","","1","","","1","1","1","1","1","1","","","","1","","","1","","1","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
