"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","fsa","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","ya","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","cosmi","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mprep","fed","sotp","dea","samhsa","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40","cosed"
"Overcome Wellness and Recovery LLC","","101 Prospect Street","Suite 210","Lakewood","NJ","08701","","Ocean","732-994-4465","https://overcomenj.com","40.0745661","-74.2197838","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","","1","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","","1","","1","1","","1","","","","1","1","1","","1","1","","","1","1","","1","1","1","1","1","","","","","","","1","1","1","1","","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","1","","","","1","","1","1","1","1","1","1","","","","","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","","","1","","1","","","1","1","1","","1","1","","","","1","1","","","1","1","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Suburban Health Clinic of Toms River","","10 Mule Road","","Toms River","NJ","08755","","Ocean","732-797-9944","https://suburbanhealthclinic.com","39.9710135","-74.2382106","SU","1","","1","","1","","","1","1","1","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","","","","","1","","","","","","","","","1","","1","1","1","","","","","1","","","","","","","","1","1","","","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","","","","1","1","","1","1","1","1","1","1","1","1","","1","","1","1","1","","1","1","1","1","1","1","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","","1","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","",""
"Sunrise Detox","","16 Whitesville Road","Suite C","Toms River","NJ","08753","","Ocean","732-797-2505","https://www.evolverecoverycenter.com","39.9824673","-74.2116575","SU","1","","","","","","","1","1","1","","","","","","1","","","1","","","1","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","1","1","1","","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","","","","1","1","1","","","","1","1","1","1","1","1","","1","1","1","1","","","","1","1","1","","1","","1","1","1","1","","1","","","1","","","","","1","1","","1","","1","","","","1","","1","1","1","1","","","","","","","","","","","1","1","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Army Substance Abuse Program","","Doughboy Loop","Building 5616","Fort Dix","NJ","08640","","Burlington","609-562-4011","https://","40.0020371","-74.6114256","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","","","1","","","","1","","","","","","","","1","","","","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","1","1","1","1","","","","1","","","1","1","1","1","1","","1","","","1","","","1","1","1","","","","","","","","","","","1","","1","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","1","","","1","","1","1","1","","","","","","","","","1","1","","1","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Counseling Center at Toms River","","1198 Lakewood Road","Suite 102","Toms River","NJ","08753","","Ocean","561-459-5737","https://www.thecounselingcenter.com/locations/toms-river-nj/","39.9818124","-74.2107517","SU","1","","","","","","","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","1","1","1","1","","1","","1","1","1","1","1","","","1","","","1","","1","1","1","1","","1","","","1","1","1","","","1","1","1","1","1","1","1","","","1","","1","","","","1","1","1","","1","","1","1","1","1","","1","","","","","","","","1","1","","1","","","","","","","","1","","1","1","","","","","","","","","","","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Preferred Behavioral Health Group","","700 Airport Road","","Lakewood","NJ","08701","","Ocean","732-367-4700","https://www.preferredbehavioral.org","40.05945","-74.1731191","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","1","","","","1","","","","","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","","1","1","1","","1","","1","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","","1","1","","","1","","","1","1","1","","1","","","","","","1","","","1","1","1","","","1","","","","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Relevance LLC","","61 West Main Street","","Freehold","NJ","07728","","Monmouth","732-702-2242","https://www.relevancerecovery.com","40.2316899","-74.3179676","SU","1","","","","1","","1","1","1","1","","1","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","","","","1","1","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","","","1","1","","1","","1","1","1","1","","","","1","","1","1","","1","1","1","1","1","1","1","1","1","1","","1","1","","1","","1","","","","1","","1","1","1","1","1","1","","","","1","","","","1","1","","1","","1","","","1","1","1","1","1","1","1","","1","","","","","","1","","","","1","","1","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Integrity House","DBA Integrity House","310 Main Street","Suite 6","Toms River","NJ","08753","","Ocean","973-623-0600","https://www.integrityhouse.org","39.9557932","-74.19936","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","1","1","1","1","","1","1","1","","","1","1","","","","1","","1","1","1","1","1","1","","1","","","","","","","","1","1","1","","1","1","1","1","1","","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","1","","1","1","1","","","","","","1","1","1","1","1","","","","1","1","","1","1","1","1","1","1","1","","1","1","","","1","","1","1","1","","","","","1","","","","","","","","","","","","","1","","1","","","1","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iron Recovery and Wellness Center","","226 Main Street","","Toms River","NJ","08753","","Ocean","609-358-1560","https://www.ironwellness.org","39.9543074","-74.1986848","SU","1","","","","","","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","1","1","","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","1","1","","1","1","1","","1","","","","","","1","1","1","","","","","","","","1","","","1","1","","1","1","1","","1","","","1","","1","","1","1","1","","1","","1","1","1","1","","","1","","","","1","","","1","1","1","1","1","","","","","","1","1","","1","1","1","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Quantum Behavioral Health Servs","","144 Mill Street","","Toms River","NJ","08757","","Ocean","609-300-2180","https://qtreatment.com","39.9417586","-74.2027307","SU","1","","","","","","1","","1","","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","","1","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","","","1","1","","","1","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","","","","","1","1","1","1","","1","","","1","1","1","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","","","1","","1","1","","1","","","","","1","","1","","","1","1","","","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","","","","","","","","1","1","","","","","1","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
